attack_id,attacktype1,attacktype1_txt,targtype1,targtype1_txt,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt
1,1,Assassination,14,Private Citizens & Property,13,Unknown,,Unknown
2,6,Hostage Taking (Kidnapping),7,Government (Diplomatic),13,Unknown,,Unknown
3,1,Assassination,10,Journalists & Media,13,Unknown,,Unknown
4,3,Bombing/Explosion,7,Government (Diplomatic),6,Explosives,16.0,Unknown Explosive Type
5,7,Facility/Infrastructure Attack,7,Government (Diplomatic),8,Incendiary,,Unknown
6,2,Armed Assault,3,Police,5,Firearms,5.0,Unknown Gun Type
7,1,Assassination,3,Police,5,Firearms,2.0,Automatic or Semi-Automatic Rifle
8,3,Bombing/Explosion,21,Utilities,6,Explosives,16.0,Unknown Explosive Type
9,7,Facility/Infrastructure Attack,4,Military,8,Incendiary,19.0,Molotov Cocktail/Petrol Bomb
10,7,Facility/Infrastructure Attack,2,Government (General),8,Incendiary,20.0,Gasoline or Alcohol
11,3,Bombing/Explosion,4,Military,6,Explosives,16.0,Unknown Explosive Type
12,4,Hijacking,6,Airports & Aircraft,5,Firearms,4.0,Rifle/Shotgun (non-automatic)
13,7,Facility/Infrastructure Attack,2,Government (General),8,Incendiary,19.0,Molotov Cocktail/Petrol Bomb
14,7,Facility/Infrastructure Attack,1,Business,8,Incendiary,18.0,Arson/Fire
15,3,Bombing/Explosion,2,Government (General),6,Explosives,16.0,Unknown Explosive Type
16,9,Unknown,4,Military,13,Unknown,,Unknown
17,3,Bombing/Explosion,8,Educational Institution,6,Explosives,31.0,Pipe Bomb
18,3,Bombing/Explosion,1,Business,6,Explosives,16.0,Unknown Explosive Type
19,7,Facility/Infrastructure Attack,1,Business,8,Incendiary,19.0,Molotov Cocktail/Petrol Bomb
20,7,Facility/Infrastructure Attack,3,Police,8,Incendiary,19.0,Molotov Cocktail/Petrol Bomb
21,2,Armed Assault,8,Educational Institution,5,Firearms,2.0,Automatic or Semi-Automatic Rifle
22,3,Bombing/Explosion,8,Educational Institution,6,Explosives,16.0,Unknown Explosive Type
23,7,Facility/Infrastructure Attack,22,Violent Political Party,8,Incendiary,18.0,Arson/Fire
24,1,Assassination,7,Government (Diplomatic),13,Unknown,,Unknown
25,3,Bombing/Explosion,7,Government (Diplomatic),6,Explosives,15.0,Vehicle
26,6,Hostage Taking (Kidnapping),1,Business,13,Unknown,,Unknown
27,3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives,28.0,Dynamite/TNT
28,7,Facility/Infrastructure Attack,14,Private Citizens & Property,8,Incendiary,18.0,Arson/Fire
29,3,Bombing/Explosion,2,Government (General),6,Explosives,28.0,Dynamite/TNT
30,7,Facility/Infrastructure Attack,2,Government (General),8,Incendiary,18.0,Arson/Fire
31,3,Bombing/Explosion,15,Religious Figures/Institutions,6,Explosives,16.0,Unknown Explosive Type
32,3,Bombing/Explosion,20,Unknown,6,Explosives,28.0,Dynamite/TNT
33,3,Bombing/Explosion,1,Business,6,Explosives,28.0,Dynamite/TNT
34,3,Bombing/Explosion,3,Police,6,Explosives,28.0,Dynamite/TNT
35,2,Armed Assault,3,Police,5,Firearms,4.0,Rifle/Shotgun (non-automatic)
36,7,Facility/Infrastructure Attack,1,Business,8,Incendiary,20.0,Gasoline or Alcohol
37,3,Bombing/Explosion,19,Transportation,6,Explosives,28.0,Dynamite/TNT
38,3,Bombing/Explosion,15,Religious Figures/Institutions,6,Explosives,28.0,Dynamite/TNT
39,7,Facility/Infrastructure Attack,21,Utilities,8,Incendiary,19.0,Molotov Cocktail/Petrol Bomb
40,7,Facility/Infrastructure Attack,8,Educational Institution,8,Incendiary,18.0,Arson/Fire
41,3,Bombing/Explosion,1,Business,6,Explosives,31.0,Pipe Bomb
42,2,Armed Assault,6,Airports & Aircraft,5,Firearms,2.0,Automatic or Semi-Automatic Rifle
43,7,Facility/Infrastructure Attack,8,Educational Institution,8,Incendiary,19.0,Molotov Cocktail/Petrol Bomb
44,3,Bombing/Explosion,3,Police,6,Explosives,16.0,Unknown Explosive Type
45,7,Facility/Infrastructure Attack,14,Private Citizens & Property,8,Incendiary,,Unknown
46,7,Facility/Infrastructure Attack,4,Military,8,Incendiary,18.0,Arson/Fire
47,3,Bombing/Explosion,21,Utilities,6,Explosives,28.0,Dynamite/TNT
48,3,Bombing/Explosion,3,Police,6,Explosives,31.0,Pipe Bomb
49,3,Bombing/Explosion,3,Police,6,Explosives,15.0,Vehicle
50,3,Bombing/Explosion,8,Educational Institution,6,Explosives,28.0,Dynamite/TNT
51,3,Bombing/Explosion,6,Airports & Aircraft,6,Explosives,10.0,Pressure Trigger
52,3,Bombing/Explosion,6,Airports & Aircraft,6,Explosives,16.0,Unknown Explosive Type
53,7,Facility/Infrastructure Attack,3,Police,8,Incendiary,20.0,Gasoline or Alcohol
54,7,Facility/Infrastructure Attack,4,Military,8,Incendiary,20.0,Gasoline or Alcohol
55,3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives,14.0,Time Fuse
56,7,Facility/Infrastructure Attack,14,Private Citizens & Property,8,Incendiary,19.0,Molotov Cocktail/Petrol Bomb
57,7,Facility/Infrastructure Attack,8,Educational Institution,8,Incendiary,20.0,Gasoline or Alcohol
58,3,Bombing/Explosion,4,Military,6,Explosives,28.0,Dynamite/TNT
59,2,Armed Assault,18,Tourists,5,Firearms,2.0,Automatic or Semi-Automatic Rifle
60,3,Bombing/Explosion,4,Military,6,Explosives,17.0,Other Explosive Type
61,6,Hostage Taking (Kidnapping),2,Government (General),13,Unknown,,Unknown
62,3,Bombing/Explosion,4,Military,6,Explosives,14.0,Time Fuse
63,1,Assassination,4,Military,5,Firearms,5.0,Unknown Gun Type
64,6,Hostage Taking (Kidnapping),7,Government (Diplomatic),5,Firearms,2.0,Automatic or Semi-Automatic Rifle
65,7,Facility/Infrastructure Attack,8,Educational Institution,8,Incendiary,,Unknown
66,7,Facility/Infrastructure Attack,14,Private Citizens & Property,2,Chemical,1.0,Poisoning
67,7,Facility/Infrastructure Attack,15,Religious Figures/Institutions,8,Incendiary,19.0,Molotov Cocktail/Petrol Bomb
68,3,Bombing/Explosion,20,Unknown,6,Explosives,16.0,Unknown Explosive Type
69,3,Bombing/Explosion,2,Government (General),6,Explosives,14.0,Time Fuse
70,3,Bombing/Explosion,3,Police,6,Explosives,11.0,"Projectile (rockets, mortars, RPGs, etc.)"
71,6,Hostage Taking (Kidnapping),10,Journalists & Media,13,Unknown,,Unknown
72,4,Hijacking,4,Military,5,Firearms,3.0,Handgun
73,3,Bombing/Explosion,4,Military,8,Incendiary,19.0,Molotov Cocktail/Petrol Bomb
74,1,Assassination,14,Private Citizens & Property,5,Firearms,5.0,Unknown Gun Type
75,3,Bombing/Explosion,2,Government (General),6,Explosives,9.0,Letter Bomb
76,3,Bombing/Explosion,1,Business,6,Explosives,14.0,Time Fuse
