column,missing_pct
propextent,64.74
weapsubtype1,11.43
longitude,2.51
latitude,2.51
natlty1,0.86
iday,0.0
country_txt,0.0
extended,0.0
region,0.0
imonth,0.0
provstate,0.0
country,0.0
city,0.0
specificity,0.0
vicinity,0.0
crit1,0.0
crit2,0.0
region_txt,0.0
eventid,0.0
iyear,0.0
multiple,0.0
doubtterr,0.0
crit3,0.0
success,0.0
attacktype1_txt,0.0
targtype1,0.0
attacktype1,0.0
suicide,0.0
gname,0.0
guncertain1,0.0
individual,0.0
nperps,0.0
nperpcap,0.0
claimed,0.0
targtype1_txt,0.0
natlty1_txt,0.0
weaptype1_txt,0.0
weaptype1,0.0
nkill,0.0
weapsubtype1_txt,0.0
nkillter,0.0
nwound,0.0
nwoundte,0.0
property,0.0
propextent_txt,0.0
ishostkid,0.0
ransom,0.0
dbsource,0.0
INT_LOG,0.0
INT_IDEO,0.0
INT_MISC,0.0
INT_ANY,0.0
