outcome_id,success,suicide,extended,multiple,property,ishostkid,ransom
1,1,0,0,0,0,0,0
2,1,0,0,0,0,1,1
3,1,0,0,0,1,0,0
4,0,0,0,0,0,0,0
5,1,0,0,0,-9,0,0
6,1,0,0,1,1,0,0
7,0,0,0,1,0,0,0
8,1,0,0,1,-9,0,0
9,1,0,0,1,0,0,0
10,0,0,0,0,1,0,0
11,0,0,0,0,0,1,1
12,1,0,1,0,0,1,1
13,1,0,1,0,0,1,0
14,0,0,0,0,0,1,0
15,0,0,0,1,1,0,0
16,1,0,0,0,1,1,0
17,0,0,0,0,-9,0,0
18,1,0,1,1,1,1,0
19,1,0,0,0,0,1,0
20,0,0,0,1,0,1,0
21,1,0,0,0,1,0,-9
22,1,0,0,0,1,1,1
23,1,0,0,0,1,0,1
24,0,0,0,1,0,0,-9
25,1,0,0,1,-9,0,-9
26,1,0,0,0,0,0,-9
27,1,0,0,0,-9,-9,-9
28,0,0,0,0,0,-9,-9
29,1,0,1,0,1,1,0
30,1,0,0,0,1,-9,-9
31,0,0,1,0,0,1,0
32,1,0,0,1,0,1,0
33,1,0,0,1,0,-9,-9
34,1,0,0,1,1,-9,-9
35,1,0,0,0,0,-9,-9
36,1,0,1,0,1,1,1
37,1,0,0,1,1,0,-9
38,0,0,0,1,0,-9,-9
39,1,0,1,0,-9,1,0
40,1,0,1,1,0,1,1
41,1,0,0,0,-9,0,-9
42,1,0,0,1,-9,-9,-9
43,1,0,1,0,1,0,0
44,1,0,0,0,0,0,1
45,0,0,0,0,1,1,0
46,0,0,0,0,0,0,1
47,1,0,0,1,1,1,0
48,1,0,1,0,0,0,1
49,1,0,1,0,0,0,0
50,1,1,0,0,1,0,0
51,0,0,0,0,0,0,-9
52,1,0,0,0,-9,1,0
53,1,1,0,0,1,0,-9
54,0,0,0,1,1,0,-9
55,1,0,1,1,0,1,0
56,1,0,1,1,1,0,0
57,0,1,0,0,1,0,0
58,0,1,0,0,0,0,0
59,0,0,0,0,1,0,-9
60,1,0,1,0,1,0,-9
61,1,1,0,0,0,0,0
62,0,0,1,0,0,1,1
63,0,0,1,0,0,0,1
64,1,1,0,0,1,1,0
65,1,0,0,1,1,0,1
66,0,0,1,0,1,0,1
67,0,0,0,0,1,0,1
68,1,1,0,1,1,0,0
69,1,0,0,1,0,0,-9
70,1,0,1,1,1,0,-9
71,1,1,0,0,0,0,-9
72,1,1,0,1,-9,0,-9
73,1,1,0,1,1,0,-9
74,0,0,0,0,-9,0,-9
75,1,0,1,0,-9,1,1
76,1,0,1,0,0,1,-9
77,1,0,1,1,0,1,-9
78,0,0,1,0,0,0,-9
79,1,0,0,0,0,1,-9
80,1,0,1,1,-9,1,-9
81,1,0,1,0,-9,0,-9
82,1,0,1,1,1,1,-9
83,0,0,0,1,-9,0,-9
84,1,1,0,1,0,0,-9
85,0,1,0,1,0,0,-9
86,1,1,0,0,-9,0,-9
87,0,1,0,0,-9,0,-9
88,1,0,1,0,0,0,-9
89,0,0,1,0,1,1,-9
90,0,0,1,0,1,0,-9
91,1,0,1,0,1,1,-9
92,1,0,1,0,1,-9,-9
93,1,0,0,1,0,1,-9
94,0,1,0,0,1,0,-9
95,1,0,0,0,-9,1,-9
96,1,0,1,1,-9,1,0
97,0,1,0,0,0,0,-9
98,1,0,1,0,0,-9,-9
99,1,0,0,0,1,1,-9
100,1,0,0,1,-9,1,0
101,0,0,1,1,0,0,-9
102,1,0,1,1,1,1,1
103,1,0,1,0,-9,1,-9
104,1,0,0,1,1,1,-9
105,1,0,0,1,-9,1,-9
106,1,0,1,0,-9,-9,-9
107,0,0,0,0,-9,1,0
108,1,1,0,1,1,1,0
109,1,0,1,1,0,0,-9
110,1,0,1,1,-9,1,1
111,0,0,1,0,1,0,0
112,0,1,0,1,1,0,-9
113,1,1,1,0,1,1,0
114,1,0,0,0,-9,1,1
115,1,1,0,0,0,-9,-9
116,1,1,0,0,0,1,1
117,0,0,0,1,-9,0,0
118,0,0,0,0,-9,1,-9
119,0,0,0,0,0,-9,0
120,1,1,1,1,-9,1,0
121,1,0,1,1,-9,0,-9
122,1,1,1,1,-9,0,-9
123,1,1,0,1,-9,1,0
124,1,1,0,1,1,1,-9
125,1,1,0,0,0,1,0
126,1,1,0,0,1,1,-9
127,1,1,1,0,1,1,-9
128,1,1,0,0,1,-9,-9
129,1,0,1,1,1,-9,-9
130,1,1,1,0,1,0,-9
131,1,1,1,0,-9,1,0
132,1,0,0,-9,0,0,-9
133,0,0,1,1,0,-9,-9
134,1,1,1,1,0,1,-9
135,1,1,1,1,0,1,0
136,1,1,0,0,-9,1,0
137,0,1,0,1,-9,0,-9
138,1,0,1,1,-9,-9,-9
139,1,0,1,1,0,-9,-9
140,1,1,1,1,1,1,0
141,1,1,1,0,0,1,0
142,1,1,1,0,-9,0,-9
143,1,1,1,0,1,-9,-9
144,0,0,1,1,-9,0,-9
145,1,1,1,0,-9,-9,-9
146,1,1,1,1,1,0,-9
147,0,0,1,0,0,-9,-9
148,1,1,1,1,1,-9,-9
149,0,0,0,0,-9,-9,-9
150,0,0,1,1,-9,-9,-9
