decade,region_txt,country_txt,attacktype1_txt,targtype1_txt,weaptype1_txt,casualty_level,support,total_killed,total_wounded,total_casualties,avg_casualties_per_event,cuboid_level
ALL,ALL,ALL,ALL,ALL,ALL,ALL,181691,411868.0,523869.0,935737.0,5.150156034145885,0
ALL,ALL,ALL,ALL,ALL,Explosives,ALL,92426,174277.0,385904.0,560181.0,6.060859498409538,1
ALL,ALL,ALL,Bombing/Explosion,ALL,ALL,ALL,88255,157321.0,372686.0,530007.0,6.005404792929579,1
2010s,ALL,ALL,ALL,ALL,ALL,ALL,86815,198502.0,243838.0,442340.0,5.095202441974314,1
ALL,ALL,ALL,ALL,ALL,ALL,0_None,73900,0.0,0.0,0.0,0.0,1
ALL,ALL,ALL,ALL,ALL,ALL,1_Low_1_5,73067,87294.0,70776.0,158070.0,2.1633569189921578,1
ALL,ALL,ALL,ALL,ALL,Firearms,ALL,58524,174894.0,77219.0,252113.0,4.307856605836921,1
ALL,Middle East & North Africa,ALL,ALL,ALL,ALL,ALL,50474,137642.0,214308.0,351950.0,6.97289693703689,1
ALL,South Asia,ALL,ALL,ALL,ALL,ALL,44974,101319.0,141360.0,242679.0,5.395984346511318,1
ALL,ALL,ALL,ALL,Private Citizens & Property,ALL,ALL,43511,140504.0,178672.0,319176.0,7.335524350164326,1
ALL,ALL,ALL,Armed Assault,ALL,ALL,ALL,42669,160297.0,77366.0,237663.0,5.569921957392955,1
1980s,ALL,ALL,ALL,ALL,ALL,ALL,31160,68193.0,48880.0,117073.0,3.7571566110397945,1
1990s,ALL,ALL,ALL,ALL,ALL,ALL,28762,65083.0,78886.0,143969.0,5.005528127390306,1
ALL,ALL,ALL,ALL,Military,ALL,ALL,27984,106047.0,71038.0,177085.0,6.328080331618067,1
ALL,ALL,ALL,ALL,ALL,ALL,2_Medium_6_20,25806,122855.0,142959.5,265814.5,10.300492133612337,1
2000s,ALL,ALL,ALL,ALL,ALL,ALL,25040,72962.0,144205.0,217167.0,8.672803514376996,1
ALL,ALL,Iraq,ALL,ALL,ALL,ALL,24636,78589.0,134690.0,213279.0,8.657208962493911,1
ALL,ALL,ALL,ALL,Police,ALL,ALL,24506,53704.0,64703.0,118407.0,4.831755488451808,1
ALL,ALL,ALL,ALL,Government (General),ALL,ALL,21283,26071.0,41184.0,67255.0,3.160033829817225,1
ALL,ALL,ALL,ALL,Business,ALL,ALL,20669,23487.0,54531.0,78018.0,3.7746383472833713,1
ALL,ALL,ALL,Assassination,ALL,ALL,ALL,19312,24920.0,13887.0,38807.0,2.009475973487987,1
ALL,South America,ALL,ALL,ALL,ALL,ALL,18978,28849.0,16704.0,45553.0,2.4003056170302455,1
ALL,Sub-Saharan Africa,ALL,ALL,ALL,ALL,ALL,17550,78386.0,52857.0,131243.0,7.478233618233618,1
ALL,Western Europe,ALL,ALL,ALL,ALL,ALL,16639,6694.0,18332.0,25026.0,1.5040567341787368,1
ALL,ALL,ALL,ALL,ALL,Unknown,ALL,15157,42620.0,17575.0,60195.0,3.97143234149238,1
ALL,ALL,Pakistan,ALL,ALL,ALL,ALL,14368,23822.0,42038.0,65860.0,4.583797327394209,1
ALL,ALL,Afghanistan,ALL,ALL,ALL,ALL,12731,39384.0,44277.0,83661.0,6.571439792632158,1
ALL,Southeast Asia,ALL,ALL,ALL,ALL,ALL,12485,15637.0,26259.0,41896.0,3.3557068482178614,1
ALL,ALL,India,ALL,ALL,ALL,ALL,11960,19341.0,28980.0,48321.0,4.040217391304348,1
ALL,ALL,ALL,Hostage Taking (Kidnapping),ALL,ALL,ALL,11158,24231.0,6446.0,30677.0,2.749327836529844,1
ALL,ALL,ALL,ALL,ALL,Incendiary,ALL,11135,5476.0,5530.0,11006.0,0.988414907947912,1
ALL,ALL,ALL,Facility/Infrastructure Attack,ALL,ALL,ALL,10356,3642.0,3765.0,7407.0,0.7152375434530707,1
ALL,Central America & Caribbean,ALL,ALL,ALL,ALL,ALL,10344,28708.0,8991.0,37699.0,3.6445282289249805,1
1970s,ALL,ALL,ALL,ALL,ALL,ALL,9914,7128.0,8060.0,15188.0,1.531974984869881,1
ALL,ALL,Colombia,ALL,ALL,ALL,ALL,8306,14698.0,10328.0,25026.0,3.0130026486876957,1
ALL,ALL,ALL,ALL,ALL,ALL,3_High_21_100,8074,136179.0,181581.5,317760.5,39.356019321278175,1
ALL,ALL,ALL,Unknown,ALL,ALL,ALL,7276,32381.0,14725.0,47106.0,6.47416162726773,1
ALL,ALL,Philippines,ALL,ALL,ALL,ALL,6908,9559.0,13367.0,22926.0,3.3187608569774176,1
ALL,ALL,ALL,ALL,Transportation,ALL,ALL,6799,13916.0,40679.0,54595.0,8.029857331960583,1
ALL,ALL,Peru,ALL,ALL,ALL,ALL,6096,12771.0,4078.0,16849.0,2.7639435695538057,1
ALL,ALL,ALL,ALL,Utilities,ALL,ALL,6023,1874.0,1353.0,3227.0,0.5357795118711606,1
ALL,ALL,ALL,ALL,Unknown,ALL,ALL,5898,4329.0,3559.0,7888.0,1.3374025093251949,1
ALL,ALL,El Salvador,ALL,ALL,ALL,ALL,5320,12053.0,5062.0,17115.0,3.2171052631578947,1
ALL,ALL,United Kingdom,ALL,ALL,ALL,ALL,5235,3410.0,6106.0,9516.0,1.8177650429799428,1
ALL,Eastern Europe,ALL,ALL,ALL,ALL,ALL,5144,7415.0,12045.0,19460.0,3.7830482115085537,1
ALL,ALL,ALL,ALL,Religious Figures/Institutions,ALL,ALL,4440,13413.0,24477.0,37890.0,8.533783783783784,1
ALL,ALL,ALL,ALL,Educational Institution,ALL,ALL,4322,3745.0,10227.0,13972.0,3.2327626099028226,1
ALL,ALL,Turkey,ALL,ALL,ALL,ALL,4292,6888.0,9899.0,16787.0,3.9112301957129545,1
ALL,ALL,Somalia,ALL,ALL,ALL,ALL,4142,10273.0,8875.0,19148.0,4.622887493964268,1
ALL,ALL,Nigeria,ALL,ALL,ALL,ALL,3907,22682.0,10239.0,32921.0,8.426158177629896,1
ALL,ALL,Thailand,ALL,ALL,ALL,ALL,3849,2742.0,7818.0,10560.0,2.7435697583787997,1
ALL,ALL,ALL,ALL,ALL,Melee,ALL,3655,10575.0,5495.0,16070.0,4.39671682626539,1
ALL,ALL,ALL,ALL,Government (Diplomatic),ALL,ALL,3573,3039.0,10359.0,13398.0,3.749790092359362,1
ALL,North America,ALL,ALL,ALL,ALL,ALL,3456,4916.0,21531.0,26447.0,7.652488425925926,1
ALL,ALL,Yemen,ALL,ALL,ALL,ALL,3347,8776.0,9328.0,18104.0,5.409023005676725,1
ALL,ALL,Spain,ALL,ALL,ALL,ALL,3249,1288.0,4935.0,6223.0,1.915358571868267,1
ALL,ALL,ALL,ALL,Terrorists/Non-State Militia,ALL,ALL,3039,9088.0,8223.0,17311.0,5.696281671602501,1
ALL,ALL,Sri Lanka,ALL,ALL,ALL,ALL,3022,15530.0,15561.0,31091.0,10.288219722038384,1
ALL,ALL,ALL,ALL,Journalists & Media,ALL,ALL,2948,1501.0,1796.0,3297.0,1.1183853459972863,1
ALL,ALL,United States,ALL,ALL,ALL,ALL,2836,3771.0,20702.0,24473.0,8.629407616361071,1
ALL,ALL,Algeria,ALL,ALL,ALL,ALL,2743,11066.0,9150.0,20216.0,7.370032810791105,1
ALL,ALL,France,ALL,ALL,ALL,ALL,2693,534.0,2516.0,3050.0,1.1325659116227256,1
ALL,ALL,Egypt,ALL,ALL,ALL,ALL,2479,3869.0,4822.0,8691.0,3.5058491327148045,1
ALL,ALL,Lebanon,ALL,ALL,ALL,ALL,2478,4061.0,10904.0,14965.0,6.0391444713478615,1
ALL,ALL,Chile,ALL,ALL,ALL,ALL,2365,228.0,755.0,983.0,0.4156448202959831,1
ALL,ALL,Libya,ALL,ALL,ALL,ALL,2249,2598.0,3310.0,5908.0,2.626945309026234,1
ALL,ALL,West Bank and Gaza Strip,ALL,ALL,ALL,ALL,2227,1500.0,3014.0,4514.0,2.0269420745397397,1
ALL,ALL,Syria,ALL,ALL,ALL,ALL,2201,15229.0,14109.0,29338.0,13.329395729213994,1
ALL,ALL,Russia,ALL,ALL,ALL,ALL,2194,4308.0,7441.0,11749.0,5.355059252506837,1
ALL,ALL,Israel,ALL,ALL,ALL,ALL,2183,1703.0,7946.0,9649.0,4.420064131928538,1
ALL,ALL,Guatemala,ALL,ALL,ALL,ALL,2050,5167.0,1231.0,6398.0,3.1209756097560977,1
ALL,ALL,South Africa,ALL,ALL,ALL,ALL,2016,2674.0,4545.0,7219.0,3.5808531746031744,1
ALL,ALL,Nicaragua,ALL,ALL,ALL,ALL,1970,10598.0,1731.0,12329.0,6.258375634517766,1
ALL,ALL,ALL,ALL,Violent Political Party,ALL,ALL,1866,3617.0,5303.0,8920.0,4.780278670953912,1
ALL,ALL,Ukraine,ALL,ALL,ALL,ALL,1709,2261.0,2841.0,5102.0,2.9853715623171446,1
ALL,ALL,Bangladesh,ALL,ALL,ALL,ALL,1648,1244.0,8225.0,9469.0,5.745752427184466,1
ALL,ALL,Italy,ALL,ALL,ALL,ALL,1565,420.0,1291.0,1711.0,1.093290734824281,1
ALL,ALL,ALL,ALL,Airports & Aircraft,ALL,ALL,1343,3767.0,3478.0,7245.0,5.39463886820551,1
ALL,ALL,Greece,ALL,ALL,ALL,ALL,1275,325.0,733.0,1058.0,0.8298039215686275,1
ALL,ALL,Nepal,ALL,ALL,ALL,ALL,1215,1969.0,2151.0,4120.0,3.3909465020576133,1
ALL,ALL,ALL,Unarmed Assault,ALL,ALL,ALL,1015,880.0,14027.0,14907.0,14.686699507389163,1
ALL,ALL,ALL,ALL,Telecommunication,ALL,ALL,1009,182.0,497.0,679.0,0.6729435084241824,1
ALL,ALL,ALL,Hostage Taking (Barricade Incident),ALL,ALL,ALL,991,4478.0,3966.0,8444.0,8.520686175580222,1
ALL,ALL,ALL,ALL,NGO,ALL,ALL,970,1057.0,893.0,1950.0,2.0103092783505154,1
ALL,ALL,Sudan,ALL,ALL,ALL,ALL,967,3883.0,2169.0,6052.0,6.258531540847984,1
ALL,ALL,ALL,ALL,ALL,ALL,4_Mass_100_plus,844,65540.0,128552.0,194092.0,229.96682464454977,1
ALL,ALL,Argentina,ALL,ALL,ALL,ALL,815,490.0,755.0,1245.0,1.5276073619631902,1
ALL,East Asia,ALL,ALL,ALL,ALL,ALL,802,1152.0,9213.0,10365.0,12.923940149625935,1
ALL,ALL,Democratic Republic of the Congo,ALL,ALL,ALL,ALL,775,4069.0,1369.0,5438.0,7.016774193548387,1
