antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'success_Success', 'weaptype1_txt_Incendiary', 'casualty_level_0_None'})",frozenset({'attacktype1_txt_Facility/Infrastructure Attack'}),0.05131147299821999,0.05825990163339561,0.040940318048751784,0.7978784403669724,13.6951559820282,1.0,0.037950916679210855,4.659275834188248,0.9771188911299641,0.5965275793083739,0.785374372415918,0.7502985333726118
frozenset({'attacktype1_txt_Facility/Infrastructure Attack'}),"frozenset({'success_Success', 'weaptype1_txt_Incendiary', 'casualty_level_0_None'})",0.05825990163339561,0.05131147299821999,0.040940318048751784,0.702718626378251,13.6951559820282,1.0,0.037950916679210855,3.1912141532582528,0.9843283546484809,0.5965275793083739,0.686639644983088,0.7502985333726118
"frozenset({'weaptype1_txt_Incendiary', 'casualty_level_0_None'})",frozenset({'attacktype1_txt_Facility/Infrastructure Attack'}),0.054876404273994636,0.05825990163339561,0.04330386258097101,0.7891162541327852,13.544757749478412,1.0,0.04010676866597364,4.465683661364689,0.9799466471436531,0.6201109472649393,0.7760701214347984,0.7662019280932422
frozenset({'attacktype1_txt_Facility/Infrastructure Attack'}),"frozenset({'weaptype1_txt_Incendiary', 'casualty_level_0_None'})",0.05825990163339561,0.054876404273994636,0.04330386258097101,0.7432876020536991,13.544757749478412,1.0,0.04010676866597364,3.6816437510887434,0.9834674135405763,0.6201109472649393,0.7283821934959682,0.7662019280932422
"frozenset({'weaptype1_txt_Incendiary', 'casualty_level_0_None'})","frozenset({'success_Success', 'attacktype1_txt_Facility/Infrastructure Attack'})",0.054876404273994636,0.05516571781632022,0.040940318048751784,0.7460459297649897,13.523723778035922,1.0,0.03791302181579829,3.720492769851359,0.9798251502594859,0.5924638092534772,0.7312183998572984,0.7440896315491616
"frozenset({'success_Success', 'attacktype1_txt_Facility/Infrastructure Attack'})","frozenset({'weaptype1_txt_Incendiary', 'casualty_level_0_None'})",0.05516571781632022,0.054876404273994636,0.040940318048751784,0.7421333333333334,13.523723778035922,1.0,0.03791302181579829,3.6651638924224628,0.9801251782013448,0.5924638092534772,0.7271609048459065,0.7440896315491616
"frozenset({'attacktype1_txt_Facility/Infrastructure Attack', 'casualty_level_0_None'})","frozenset({'success_Success', 'weaptype1_txt_Incendiary'})",0.05297870358111322,0.05858354051125136,0.040940318048751784,0.7727693446871529,13.190895223185382,1.0,0.03783663802127406,4.14299935980303,0.9758916060715133,0.579711151228996,0.7586289754948109,0.7358029363429068
"frozenset({'success_Success', 'weaptype1_txt_Incendiary'})","frozenset({'attacktype1_txt_Facility/Infrastructure Attack', 'casualty_level_0_None'})",0.05858354051125136,0.05297870358111322,0.040940318048751784,0.6988365279986607,13.190895223185382,1.0,0.03783663802127406,3.1445423647349746,0.9817016949629821,0.579711151228996,0.681988701690053,0.7358029363429068
"frozenset({'success_Success', 'attacktype1_txt_Facility/Infrastructure Attack', 'casualty_level_0_None'})",frozenset({'weaptype1_txt_Incendiary'}),0.050065953680411515,0.06236913465829128,0.040940318048751784,0.8177277179236042,13.111096095909941,1.0,0.037817747841862426,5.144122050047738,0.9724135373295296,0.572633744855967,0.8056033682189325,0.7370736238804279
frozenset({'weaptype1_txt_Incendiary'}),"frozenset({'success_Success', 'attacktype1_txt_Facility/Infrastructure Attack', 'casualty_level_0_None'})",0.06236913465829128,0.050065953680411515,0.040940318048751784,0.6564195298372514,13.111096095909941,1.0,0.037817747841862426,2.764808040077539,0.9851731212738415,0.572633744855967,0.6383112369812282,0.7370736238804279
frozenset({'weaptype1_txt_Incendiary'}),"frozenset({'attacktype1_txt_Facility/Infrastructure Attack', 'casualty_level_0_None'})",0.06236913465829128,0.05297870358111322,0.04330386258097101,0.6943155908483372,13.10556023299632,1.0,0.039999626683298865,3.098035974576086,0.9851387608240311,0.6010754151919412,0.6772148521816849,0.7558490208962159
"frozenset({'attacktype1_txt_Facility/Infrastructure Attack', 'casualty_level_0_None'})",frozenset({'weaptype1_txt_Incendiary'}),0.05297870358111322,0.06236913465829128,0.04330386258097101,0.8173824509440947,13.105560232996318,1.0,0.039999626683298865,5.134396284415517,0.9753703663117257,0.6010754151919412,0.8052351348423747,0.7558490208962159
"frozenset({'success_Success', 'weaptype1_txt_Incendiary'})",frozenset({'attacktype1_txt_Facility/Infrastructure Attack'}),0.05858354051125136,0.05825990163339561,0.0442600683564539,0.7555034736753997,12.967812380279264,1.0,0.04084699704893235,3.851752466684637,0.9803163963669178,0.6097824618294825,0.7403779166368026,0.7576019177988984
frozenset({'attacktype1_txt_Facility/Infrastructure Attack'}),"frozenset({'success_Success', 'weaptype1_txt_Incendiary'})",0.05825990163339561,0.05858354051125136,0.0442600683564539,0.7597003619223971,12.967812380279263,1.0,0.04084699704893235,3.917677392359307,0.9799795003390072,0.6097824618294825,0.7447467211184076,0.7576019177988984
"frozenset({'success_Success', 'attacktype1_txt_Facility/Infrastructure Attack'})",frozenset({'weaptype1_txt_Incendiary'}),0.05516571781632022,0.06236913465829128,0.0442600683564539,0.8023111111111112,12.86391282333517,1.0,0.040819430273446526,4.742961886283376,0.9761110198647951,0.6040286421735931,0.7891612827646801,0.7559790479684811
frozenset({'weaptype1_txt_Incendiary'}),"frozenset({'success_Success', 'attacktype1_txt_Facility/Infrastructure Attack'})",0.06236913465829128,0.05516571781632022,0.0442600683564539,0.7096469848258512,12.86391282333517,1.0,0.040819430273446526,3.254088067991938,0.9836100632730612,0.6040286421735931,0.6926942421023384,0.7559790479684811
frozenset({'weaptype1_txt_Incendiary'}),frozenset({'attacktype1_txt_Facility/Infrastructure Attack'}),0.06236913465829128,0.05825990163339561,0.046687359940371986,0.7485651387687712,12.848719578676397,1.0,0.04305374029021993,3.7454635119214648,0.9835120272473351,0.6314079182969693,0.7330103479003086,0.7749643301789315
frozenset({'attacktype1_txt_Facility/Infrastructure Attack'}),frozenset({'weaptype1_txt_Incendiary'}),0.05825990163339561,0.06236913465829128,0.046687359940371986,0.8013635215890917,12.848719578676395,1.0,0.04305374029021993,4.720335725052896,0.9792205246238866,0.6314079182969693,0.7881506616801511,0.7749643301789315
"frozenset({'decade_2010s', 'weaptype1_txt_Unknown'})",frozenset({'attacktype1_txt_Unknown'}),0.05093389430738828,0.049006771898338165,0.031392971152007294,0.616347357273515,12.576779359230056,1.0,0.028896865411791053,2.4787871167608437,0.9698885910350759,0.45797267329565766,0.5965768930948977,0.6284658539419405
